Informal ,formal 
கேக்குறீங்க,கேட்கின்றீர்கள்
கேப்பீங்க,கேட்பீர்கள்
கேக்குறான்,கேட்கின்றான்
கேப்பான்,கேட்பான்
கேக்குறாள்,கேட்கின்றாள்
கேப்பாள்,கேட்பாள்
பாய்ங்க,பாய்தல்
பாஞ்சேன்,பாய்ந்தேன்
பாயுவேன்,பாய்வேன்
பாயிறேன்,பாய்கின்றேன்
பாஞ்சாங்க,பாய்ந்தார்கள்
பாயிறாங்க,பாய்கின்றனர்
பாயுவாங்க,பாய்வார்கள்
பாஞ்சீங்க,பாய்தீர்கள்
பாயிறீங்க,பாய்கின்றீர்கள்
பாயுவீங்க,பாய்வீர்கள்
பாஞ்சிச்சி,பாய்ந்தது
பாயுது,பாய்கின்றது
பாஞ்சான்,பாய்ந்தான்
பாயுரான்,பாய்கின்றான்
பாயுவான்,பாய்வான்
பாஞ்சால்,பாய்ந்தாள்
பாயுறாள்,பாய்கின்றாள்
பாயுவால்,பாய்வாள்
தூங்குற,தூங்குதல்
தூங்குறான்,தூங்குகிறான்
தூங்குறால்,தூங்குகிறாள்
தூங்கிச்சி,தூங்கியது
தூங்குது,தூங்குகின்றது
தூக்கினாங்க,தூங்கினார்கள்
தூங்குறாங்க,தூங்குகின்றார்கள்
தூங்குவாங்க,தூங்குவார்கள்
தூங்கினீங்க,தூங்கினீர்கள்
தூங்குறீங்க,தூங்குகின்றீர்
தூங்குவீங்க,தூங்குவீர்கள்
திரும்புங்க,திரும்பு
திரும்பிச்சி,திரும்பியது
திரும்புது,திரும்புகிறது
திரும்பினாங்க,திரும்பினார்கள்
திரும்புறாங்க,திரும்புகிறார்கள்
திரும்புவாங்க,திரும்புவார்கள்
திரும்பினீங்க,திரும்பினீர்கள்
திரும்புறீங்க,திரும்புகிறீர்கள்
திரும்புவீங்க,திரும்புவீர்கள்
உக்காருங்க,உட்கார்
நடங்க,நட
நடக்குறேன்,நடக்கின்றேன்
நடப்பாங்க,நடப்பார்கள்
நடக்குறாங்க,நடக்கிறார்கள்
நடந்தாங்க,நடந்தார்கள்
நடந்தீங்க,நடந்தீர்கள்
நடக்குறீங்க,நடக்கின்றீர்கள்
நடப்பீங்க,நடப்பீர்கள்
